Date,DayOfWeek,Area,Weather,Festival,AvgTraffic_Area,Traffic_Today,Event,Event_Impact(%),Extra_Time_Minutes
2025-09-01,Monday,Jaydev Vihar,Foggy,None,79,79,None,0,0.0
2025-02-01,Saturday,Master Canteen,Humid,None,90,95,None,0,0.0
2025-04-30,Wednesday,Airport Road,Rainy,None,82,78,Sports Event,15,12.0
2025-05-09,Friday,Kalpana Square,Humid,None,76,79,Political Rally,10,8.0
2025-03-03,Monday,Master Canteen,Humid,None,98,95,Bad Roads,8,6.4
2025-06-17,Tuesday,Rasulgarh,Cloudy,None,75,70,None,0,0.0
2025-01-12,Sunday,Airport Road,Rainy,None,73,70,None,0,0.0
2025-03-15,Saturday,Rasulgarh,Cloudy,None,89,90,None,0,0.0
2025-05-14,Wednesday,Master Canteen,Sunny,None,80,85,None,0,0.0
2025-07-13,Sunday,Khandagiri,Humid,None,66,65,None,0,0.0
2025-05-09,Friday,Kalpana Square,Humid,None,65,70,None,0,0.0
2025-05-23,Friday,Airport Road,Cloudy,None,50,54,None,0,0.0
2025-08-22,Friday,Jaydev Vihar,Foggy,None,88,85,Accident,28,22.4
2025-05-06,Tuesday,Kalpana Square,Rainy,None,82,84,None,0,0.0
2025-03-28,Friday,Airport Road,Humid,None,50,45,None,0,0.0
2025-05-08,Thursday,Airport Road,Foggy,None,71,73,Sports Event,8,6.4
2025-04-19,Saturday,Master Canteen,Cloudy,None,92,95,None,0,0.0
2025-02-26,Wednesday,Master Canteen,Cloudy,None,80,82,None,0,0.0
2025-05-21,Wednesday,Kalpana Square,Rainy,None,79,84,None,0,0.0
2025-06-10,Tuesday,Khandagiri,Sunny,None,60,56,None,0,0.0
2025-04-08,Tuesday,Jaydev Vihar,Foggy,None,77,81,None,0,0.0
2025-07-23,Wednesday,Master Canteen,Sunny,Rath Yatra,103,100,None,0,0.0
2025-08-20,Wednesday,Khandagiri,Sunny,Independence Day,82,81,None,0,0.0
2025-06-04,Wednesday,Khandagiri,Cloudy,None,60,63,None,0,0.0
2025-02-01,Saturday,Rasulgarh,Foggy,None,112,100,Sports Event,13,10.4
2025-05-30,Friday,Kalpana Square,Humid,None,65,69,None,0,0.0
2025-01-06,Monday,Jaydev Vihar,Rainy,None,87,84,None,0,0.0
2025-02-23,Sunday,Master Canteen,Sunny,None,91,92,None,0,0.0
2025-08-13,Wednesday,Airport Road,Sunny,None,66,67,VIP Convoy,16,12.8
2025-04-06,Sunday,Khandagiri,Sunny,None,72,68,None,0,0.0
2025-01-19,Sunday,Khandagiri,Foggy,None,74,79,None,0,0.0
2025-04-10,Thursday,Airport Road,Humid,None,50,54,None,0,0.0
2025-06-17,Tuesday,Rasulgarh,Humid,None,75,79,None,0,0.0
