Date,DayOfWeek,Area,Weather,Festival,AvgTraffic_Area,Traffic_Today,Event,Event_Impact(%),Extra_Time_Minutes,from,to,lat_from,lon_from,lat_to,lon_to,traffic_score,event_multiplier,weather_multiplier,combined_impact_score
2025-09-01,Monday,Jaydev Vihar,Foggy,,79,79,,0,0.0,Airport Road,Jaydev Vihar,20.330997548691638,85.82533142350984,20.31792800226932,85.85240901777134,0.6181818181818182,1.0,1.1,0.68
2025-02-01,Saturday,Master Canteen,Humid,,90,95,,0,0.0,Airport Road,Jaydev Vihar,20.27444633444589,85.82827265769414,20.330845433915716,85.84179273731901,0.9090909090909092,1.0,1.05,0.9545454545454547
2025-04-30,Wednesday,Airport Road,Rainy,,82,78,Sports Event,15,12.0,Jaydev Vihar,Airport Road,20.284066786951634,85.85218400712286,20.270893725818347,85.84069173927354,0.6000000000000001,1.15,1.2,0.8280000000000001
2025-05-09,Friday,Kalpana Square,Humid,,76,79,Political Rally,10,8.0,Kalpana Square,Khandagiri,20.356618278746105,85.7728193118236,20.339825554761177,85.87192258130312,0.6181818181818182,1.1,1.05,0.7140000000000001
2025-03-03,Monday,Master Canteen,Humid,,98,95,Bad Roads,8,6.4,Khandagiri,Khandagiri,20.379183913576718,85.78234772302304,20.353531490951493,85.86064436795624,0.9090909090909092,1.08,1.05,1.030909090909091
2025-06-17,Tuesday,Rasulgarh,Cloudy,,75,70,,0,0.0,Jaydev Vihar,Khandagiri,20.25852606767624,85.8611427432406,20.27092549399031,85.84770992281277,0.4545454545454546,1.0,1.05,0.47727272727272735
2025-01-12,Sunday,Airport Road,Rainy,,73,70,,0,0.0,Master Canteen,Rasulgarh,20.317167274199075,85.77155244520922,20.23017425763295,85.82606283672868,0.4545454545454546,1.0,1.2,0.5454545454545455
2025-03-15,Saturday,Rasulgarh,Cloudy,,89,90,,0,0.0,Master Canteen,Khandagiri,20.320624494970787,85.87252939305299,20.244056378498446,85.82776132182484,0.8181818181818181,1.0,1.05,0.859090909090909
2025-05-14,Wednesday,Master Canteen,Sunny,,80,85,,0,0.0,Kalpana Square,Master Canteen,20.35783173429053,85.83780135483688,20.300081914020925,85.79876295873147,0.7272727272727273,1.0,1.0,0.7272727272727273
2025-07-13,Sunday,Khandagiri,Humid,,66,65,,0,0.0,Kalpana Square,Jaydev Vihar,20.36660370479267,85.83673042539816,20.322255948255492,85.7767815987805,0.36363636363636354,1.0,1.05,0.3818181818181817
