from,to,lat_from,lon_from,lat_to,lon_to,traffic_score,event_multiplier,weather_multiplier
Rasulgarh,Master Canteen,20.35464027352832,85.82655255940689,20.303184126562673,85.81233898325729,0.6181818181818182,1.0,1.1
Airport Road,Khandagiri,20.284525051428083,85.86633144688334,20.33535895192885,85.80216392082122,0.9090909090909092,1.0,1.05
Master Canteen,Master Canteen,20.315028169775548,85.82389969624998,20.367434518113143,85.8334072764018,0.6000000000000001,1.15,1.2
Rasulgarh,Kalpana Square,20.28481751354145,85.80484638675922,20.27991737588967,85.78740385427928,0.6181818181818182,1.1,1.05
Master Canteen,Jaydev Vihar,20.291889889818428,85.82971974524193,20.367141797018764,85.82260695760391,0.9090909090909092,1.08,1.05
Jaydev Vihar,Rasulgarh,20.337404646832145,85.83969956841604,20.309171719806372,85.78522513996099,0.4545454545454546,1.0,1.05
Jaydev Vihar,Master Canteen,20.31072758275736,85.85708592482847,20.351483522881313,85.79894737072848,0.4545454545454546,1.0,1.2
Jaydev Vihar,Jaydev Vihar,20.34166383811786,85.79482123339514,20.244078816290113,85.84842478722845,0.8181818181818181,1.0,1.05
Khandagiri,Airport Road,20.33627191001123,85.82968337439681,20.376816088738348,85.83179857027054,0.7272727272727273,1.0,1.0
Jaydev Vihar,Master Canteen,20.27385750723427,85.8561362203185,20.284713659517028,85.7859039360988,0.36363636363636354,1.0,1.05
Khandagiri,Master Canteen,20.281014028833486,85.81878728777426,20.295452359024754,85.77513696620764,0.4545454545454546,1.0,1.05
Khandagiri,Jaydev Vihar,20.230342450967502,85.79641483606297,20.362586762265806,85.79096224289663,0.1636363636363637,1.0,1.05
Airport Road,Khandagiri,20.245915988352948,85.86021409517778,20.307058043190395,85.87998240251264,0.7272727272727273,1.28,1.1
Kalpana Square,Jaydev Vihar,20.348544615522908,85.8081660413301,20.373655485275805,85.85549092557376,0.709090909090909,1.0,1.2
Kalpana Square,Airport Road,20.290616474796774,85.79265199637851,20.26247655051094,85.8700061792601,0.0,1.0,1.05
Kalpana Square,Khandagiri,20.26424429587209,85.84168234883799,20.31281773985063,85.81744099496879,0.509090909090909,1.08,1.1
Master Canteen,Khandagiri,20.339766737803505,85.7968649670046,20.230860347761006,85.77918663221658,0.9090909090909092,1.0,1.05
Rasulgarh,Jaydev Vihar,20.309410406042886,85.79506476607702,20.289861565894295,85.85268496043243,0.6727272727272726,1.0,1.05
Rasulgarh,Master Canteen,20.345618286504326,85.8584195858808,20.245661515686727,85.79558444461955,0.709090909090909,1.0,1.2
Airport Road,Airport Road,20.324651267378503,85.8262255100546,20.313864772663035,85.79278741665402,0.19999999999999996,1.0,1.0
Airport Road,Khandagiri,20.324770727372687,85.82048124140174,20.334254307834808,85.83855647834463,0.6545454545454545,1.0,1.1
Khandagiri,Airport Road,20.33867578189496,85.77675390187413,20.28659182535393,85.77389953542237,1.0,1.0,1.0
Master Canteen,Khandagiri,20.34480780888754,85.77384367351675,20.24289859527299,85.83948614145375,0.6545454545454545,1.0,1.0
Khandagiri,Jaydev Vihar,20.303137916313382,85.8526662574441,20.28377698338485,85.84670664771077,0.3272727272727274,1.0,1.05
Rasulgarh,Master Canteen,20.34353262578161,85.84473718093345,20.24712163861509,85.80289902853269,1.0,1.13,1.1
Rasulgarh,Jaydev Vihar,20.253495488660814,85.8552987737326,20.24985422091377,85.8100485565048,0.4363636363636363,1.0,1.05
Rasulgarh,Airport Road,20.30589573102403,85.85481901300504,20.369187695051007,85.83283586359731,0.709090909090909,1.0,1.2
Master Canteen,Rasulgarh,20.3378094964367,85.86959545034672,20.3479372215996,85.81754874615218,0.8545454545454545,1.0,1.0
Jaydev Vihar,Rasulgarh,20.35817460759747,85.86163648904312,20.34331314294756,85.84134042190911,0.3999999999999999,1.16,1.0
Kalpana Square,Airport Road,20.32623466640456,85.81327272442772,20.30384288282239,85.80668648967809,0.4181818181818182,1.0,1.0
Jaydev Vihar,Khandagiri,20.25534811372834,85.84334009541492,20.338785681147396,85.86672284331236,0.6181818181818182,1.0,1.1
Jaydev Vihar,Airport Road,20.234153115390345,85.86755166984884,20.35123725303915,85.8595703166075,0.1636363636363637,1.0,1.05
Khandagiri,Kalpana Square,20.250859762408414,85.82159217193949,20.303978097378682,85.84723031739607,0.6181818181818182,1.0,1.05
Airport Road,Jaydev Vihar,20.2726818860105,85.85756298815606,20.29893820397078,85.82230563600162,0.709090909090909,1.11,1.1
Rasulgarh,Kalpana Square,20.265202466384842,85.78110242778953,20.271362993921514,85.78386946178252,0.0,1.0,1.05
Rasulgarh,Jaydev Vihar,20.341697680660147,85.81416012702088,20.307525044046244,85.77182868771588,0.18181818181818188,1.0,1.05
Kalpana Square,Khandagiri,20.335492823799502,85.81358926443127,20.245465415629635,85.81076084340998,0.709090909090909,1.25,1.2
Khandagiri,Kalpana Square,20.32263661340737,85.85803487401888,20.29082155305238,85.79953248996217,0.8545454545454545,1.0,1.2
Rasulgarh,Kalpana Square,20.36540076473968,85.87004338078758,20.32111757243108,85.84733114135308,0.7454545454545454,1.1,1.0
Jaydev Vihar,Airport Road,20.259662986900384,85.84104879563345,20.366852721794004,85.85084240844424,1.0,1.0,1.1
Jaydev Vihar,Rasulgarh,20.333046451639046,85.7737242821745,20.29694279979739,85.78553699644598,0.6909090909090909,1.0,1.05
Kalpana Square,Rasulgarh,20.297998324219673,85.87062101899684,20.352588290593047,85.82520282848631,0.1454545454545455,1.0,1.05
Kalpana Square,Khandagiri,20.269956311466682,85.80775879206071,20.37465159343552,85.8353348823294,0.7272727272727273,1.0,1.1
Jaydev Vihar,Jaydev Vihar,20.262291521623812,85.85962592509418,20.319588597520394,85.82816247177344,0.6000000000000001,1.0,1.05
Jaydev Vihar,Master Canteen,20.298309667270942,85.77645099821778,20.260608786462708,85.877964959915,0.7272727272727273,1.13,1.2
Master Canteen,Jaydev Vihar,20.245281260379965,85.77344997126093,20.264668845477914,85.82842733998261,0.6909090909090909,1.0,1.2
Kalpana Square,Master Canteen,20.270007196708434,85.82059026676275,20.368309430199513,85.86486444857914,0.21818181818181825,1.0,1.05
Master Canteen,Airport Road,20.28177845377475,85.80734519284623,20.270067569969246,85.80507749910086,0.9636363636363636,1.12,1.1
Master Canteen,Airport Road,20.24384242927884,85.79836123148333,20.289279706047534,85.83330802567872,0.6181818181818182,1.19,1.0
Rasulgarh,Kalpana Square,20.359671723975886,85.78354167574106,20.349467476061214,85.86390544214532,0.6000000000000001,1.0,1.05
Airport Road,Master Canteen,20.23338760154413,85.7911442800237,20.3251001985778,85.77404320966274,0.7454545454545454,1.1,1.05
Master Canteen,Kalpana Square,20.252941388741135,85.79068231169848,20.35896726290847,85.81643743705625,0.9818181818181817,1.21,1.1
Master Canteen,Airport Road,20.264354193349522,85.84066533343766,20.26529077486668,85.85851756003333,0.8,1.0,1.0
Master Canteen,Jaydev Vihar,20.273500495225967,85.85371999491858,20.371030903084606,85.87452715138522,0.3272727272727274,1.0,1.1
